Unnamed: 0,author,author_authorized_heading,author_lccn,author_viaf,author_wikidata,oclc_eholdings,oclc_holdings,oclc_isbn,oclc_owi,rank,title,title_id,week,year
0,Warwick Deeping,"Deeping, Warwick",n82131987,76774191,Q2550081,10.0,190.0,,23650160.0,1,THE TEN COMMANDMENTS,6477,1931-10-12,1931
1,Mazo de la Roche,,,,,,,,,2,FINCHE'S FORTUNE,1808,1931-10-12,1931
2,Pearl S. Buck,"Buck, Pearl S. (1892-1973)",n79026662,91868694,Q80900,941.0,11823.0,9780743272933,267164.0,3,THE GOOD EARTH,5304,1931-10-12,1931
3,Willa Cather,"Cather, Willa, 1873-1947",n80015717,2480701,Q229480,96.0,2155.0,0679764046,1288595.0,4,SHADOWS ON THE ROCK,4038,1931-10-12,1931
4,Rafael Sabatini,,,,,,,,,5,SCARMOUCHE THE KING MAKER,3946,1931-10-12,1931
5,John Galsworthy,"Galsworthy, John, 1867-1933",n79041972,61561917,Q82248,36.0,2064.0,,577159.0,1,MAID IN WAITING,2878,1931-11-16,1931
6,A. A. Milne,"Milne, A. A. (1882-1956)",n80067053,9850718,Q207036,42.0,583.0,,317538520.0,2,TWO PEOPLE,7031,1931-11-16,1931
7,Edna Ferber,"Ferber, Edna (1887-1968)",n79077439,32079532,Q283496,56.0,1300.0,,485786.0,3,AMERICAN BEAUTY,413,1931-11-16,1931
8,Clemance Dane,,,,,,,,,4,BROOME STAGES,859,1931-11-16,1931
9,Oliver LaFarge,,,,,,,,,5,SPARKS FLY UPWARD,4235,1931-11-16,1931
10,John Galsworthy,"Galsworthy, John, 1867-1933",n79041972,61561917,Q82248,36.0,2064.0,,577159.0,1,MAID IN WAITING,2878,1931-11-30,1931
11,Edna Ferber,"Ferber, Edna (1887-1968)",n79077439,32079532,Q283496,56.0,1300.0,,485786.0,2,AMERICAN BEAUTY,413,1931-11-30,1931
12,A. A. Milne,"Milne, A. A. (1882-1956)",n80067053,9850718,Q207036,42.0,583.0,,317538520.0,3,TWO PEOPLE,7031,1931-11-30,1931
